Brand,Nama,Harga,Jumlah Review,Variasi,Foto Produk
Rare Beauty,Positive Light Luminizing Lip Gloss,Rp 435.000,(1864),6 shades,https://image-optimizer-id.production.sephora-asia.net/eyJlZGl0cyI6eyJyZXNpemUiOnt9fX0=/images/product_images/zoom_1_Product_840122908644-Rare-Beauty-Positive-Light-Luminizing_f434d17f688e9929ca6b95dcb2db28b7bb1bba67_1753081812.png
DIOR,Rouge Dior Forever Liquid Lipstick,Rp 750.000,(1355),15 shades,https://image-optimizer-id.production.sephora-asia.net/eyJlZGl0cyI6eyJyZXNpemUiOnt9fX0=/images/product_images/zoom_3348901624404_6a5698381d48a9bcf19b884a6381b39c0c898a88_1664176793.png
Laura Mercier,Mini Translucent Loose Setting Powder,Rp 500.000,(1010),,https://image-optimizer-id.production.sephora-asia.net/eyJlZGl0cyI6eyJyZXNpemUiOnt9fX0=/images/product_images/zoom_foto_PDP_25__680c8a0fbb68f52bd30701fcdb8314a624318c54_1700810372.png
DIOR,Backstage Glow Maximizer Palette Multi-Use Highlighter and Blush Palette,Rp 990.000,(296),5 shades,https://image-optimizer-id.production.sephora-asia.net/eyJlZGl0cyI6eyJyZXNpemUiOnt9fX0=/images/product_images/zoom_1_Product_3348901770590-DIOR-Glow-Maximizer-Palette-005-Sunl_97a6337ea1a57914fdeedd6e2b25c0bcc2c60eae_1758868544.png
GIVENCHY,Prisme Libre Loose Powder Mini,Rp 605.000,(1023),5 shades,https://image-optimizer-id.production.sephora-asia.net/eyJlZGl0cyI6eyJyZXNpemUiOnt9fX0=/images/product_images/zoom_1_Product_3274872462823-GIVENCHY-Prisme-Libre-4-Color-Loose-_6689be0865fa065f36220dfcadf6e34eb641d240_1727922862.png
DIOR,Backstage Rosy Glow Stick Radiance,Rp 900.000,(875),6 shades,https://image-optimizer-id.production.sephora-asia.net/eyJlZGl0cyI6eyJyZXNpemUiOnt9fX0=/images/product_images/zoom_1_Product_3348901763004-DIOR-Backstage-Rosy-Glow-Stick-Radia_33026c8cfa5ba6349d36183d4f65a562127526c4_1749698628.png
ESQA,Slick Drip Serum Lip Tint,Rp 79.000,(39),8 shades,https://image-optimizer-id.production.sephora-asia.net/eyJlZGl0cyI6eyJyZXNpemUiOnt9fX0=/images/product_images/zoom_rose_souffle_ddbaa5b65c5a1ee861002d0a8fc88295fd0f00a2_1687246794.png
IT Cosmetics,CC+Cream Full-Coverage Foundation SPF 50,"Rp 835.000
   Rp 751.500 
    10% OFF",(2721),12 shades,https://image-optimizer-id.production.sephora-asia.net/eyJlZGl0cyI6eyJyZXNpemUiOnt9fX0=/images/product_images/zoom_1_Product_3605971979309-It-Cosmetics-CC_Cream-Full-Coverage-_76273fe71cb505e3b4c7f07f4cce43950c2ec525_1750048374.png
DIOR,Addict Shine 90% Natural Origin Refillable Lipstick,Rp 750.000,(321),24 shades,https://image-optimizer-id.production.sephora-asia.net/eyJlZGl0cyI6eyJyZXNpemUiOnt9fX0=/images/product_images/zoom_1_Product_3348901749435-DIOR-Addict-Shine-90-Natural-Origin-_1c51321ff7936231fe58754e3a06762f9f3a74c7_1747363799.png
Anastasia Beverly Hills,Mini Spice Palette,Rp 635.000,(189),,https://image-optimizer-id.production.sephora-asia.net/eyJlZGl0cyI6eyJyZXNpemUiOnt9fX0=/images/product_images/zoom_prd_Sea_request_52652_2024083008340937_689304199810_MiniSpic_9e886173f535d7c52080991095bbca5eafa0ecae_1726210728.png
Huda Beauty,Easy Bake Setting Spray,Rp 675.000,(1397),2 sizes,https://image-optimizer-id.production.sephora-asia.net/eyJlZGl0cyI6eyJyZXNpemUiOnt9fX0=/images/product_images/zoom_1_Product_6294018401964-Huda-Beauty-Easy-Bake-Setting-Spray-_b63a2df57fadd37acc27decbfe424a9d219b1a99_1743215991.png
Huda Beauty,Blush Filter,Rp 425.000,(4503),9 shades,https://image-optimizer-id.production.sephora-asia.net/eyJlZGl0cyI6eyJyZXNpemUiOnt9fX0=/images/product_images/zoom_1_Product_6294018407591-Huda-Beauty-Blush-Filter-Bubblegum_c909311c0cd8b77e8a8d1b9b7a4c18f5335ef139_1743216288.png
DIOR,Addict Lip Glow Butter High-Shine Lip Treatment,Rp 720.000,(1438),5 shades,https://image-optimizer-id.production.sephora-asia.net/eyJlZGl0cyI6eyJyZXNpemUiOnt9fX0=/images/product_images/zoom_1_Product_3348901770668-DIOR-Addict-Lip-Glow-Butter-High-Shi_f7839df21e9636e0237e4e104c0fd82a94658681_1749782674.png
Yves Saint Laurent,LoveShine Candy Glow,"Rp 750.000
   Rp 660.000 
    12% OFF",(1255),9 shades,https://image-optimizer-id.production.sephora-asia.net/eyJlZGl0cyI6eyJyZXNpemUiOnt9fX0=/images/product_images/zoom_1_Product_3614274306095-Yves-Saint-Laurent-Loveshine-Candy-G_3664c79202b92fcbd3eda07d40397436cbc7faf3_1751956722.png
